Patient,Slice,Feature_1005,Feature_853,Feature_62,Feature_804,Feature_5,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
5.0,178.0,1.3112513,0.03722322,12.35813,4.404305,17.805584,0.1946457814168743,0.47218271411216,2.52368814524742,3.9291420434318254,14.586141402409188,22.0
5.0,177.0,1.2214535,0.0,12.209767,4.377052,18.047386,0.217113325163834,0.4795872459423196,2.7024348660024504,3.0968085673184502,15.183555370988309,26.0
5.0,176.0,1.1856629,0.0,11.9544525,4.3216143,17.412945,0.253113854595336,0.4291053418653164,4.207352537722909,3.4784636488340195,15.791018619120305,28.0
5.0,175.0,1.2595507,0.0,12.342885,4.252657,17.924986,0.3100274038971067,0.3465281229786165,3.852412602764614,3.74243364774637,15.494964677986356,21.0
5.0,174.0,1.2850167,0.0,12.587541,4.1924143,18.389755,0.3064404138935461,0.3319489839423772,3.501227793866111,2.6888516316957105,15.976001498204443,14.0
12.0,179.0,6.8793173,4.463469,15.395228,9.643371,42.470448,0.1833929670667898,0.4863776483231696,3.5952600800246235,3.5535549399815327,24.428345086426287,29.0
12.0,178.0,6.900429,4.477101,15.466483,9.729868,42.512455,0.1886750865128171,0.4986766988812451,3.6206881350702016,3.6161916727280734,23.28736523688517,34.0
12.0,177.0,6.893405,4.4688983,15.515653,9.696393,42.506073,0.2099653681978039,0.4977122863143569,3.5615989690998413,4.485328465193697,22.18461217130223,33.0
12.0,181.0,6.87731,4.4378376,15.387546,10.119037,42.411865,0.1526091841809574,0.5306155845619123,3.7492309675993294,3.2495164766343088,24.53785670735453,21.0
12.0,180.0,6.8753996,4.45689,15.350608,9.700882,42.50515,0.1643149497051682,0.4796960529615165,3.3899225343970403,3.897282922881257,24.67436026693463,33.400000000000006
15.0,202.0,6.537722,4.2541027,16.39529,10.0715,42.96815,0.3221842447916667,0.5779415975920105,4.036431206597222,4.966118706597222,27.690093932173088,42.0
15.0,203.0,6.578828,4.279753,16.472792,10.006919,42.944675,0.2938602378587345,0.5439338284150292,4.248463045987812,4.654514215146715,27.672782480632623,41.5
15.0,211.0,6.597268,4.3504066,16.13666,10.141102,43.43782,0.3851470044378698,0.4232517646001604,4.099089312130177,4.067284578402367,23.566320658658785,29.0
15.0,209.0,6.5844417,4.308598,16.044937,9.934853,43.253136,0.3523084852430555,0.4020241861151268,5.228732638888888,4.3271484375,24.887538078520045,30.300000000000004
15.0,210.0,6.5722046,4.3216553,15.986665,10.061108,43.473263,0.3433194527067222,0.3917420254201125,4.624770969660916,3.91614515169542,24.223186554680797,26.0
16.0,182.0,6.897126,4.4499183,15.905784,10.561314,42.509144,0.2458191609977324,0.3863220182105313,3.0480442176870746,2.375708616780045,18.79340397084996,13.7
16.0,183.0,6.8971033,4.4325795,15.705993,10.574277,42.47928,0.2067786705624543,0.458606373346126,2.974317019722425,2.433484295105917,17.325093869967198,13.0
16.0,185.0,6.8774815,4.439261,15.670667,10.492792,42.561337,0.1430105506188085,0.4690608568258768,1.8757013611103652,2.2764101049692607,15.1838427779591,20.0
16.0,184.0,6.8772507,4.4222317,15.60196,10.418178,42.246616,0.1512842301471999,0.483829447473482,1.9749458622296536,2.301471999122831,16.097432095332227,18.0
16.0,186.0,6.884466,4.448176,15.691207,10.48476,42.543633,0.1748757081743554,0.4678055365642557,2.6852815354376225,4.160480980460169,14.24076130936194,19.5
17.0,173.0,6.7604294,4.517288,15.982236,10.615967,42.51162,0.1233140411089018,0.5501355641720928,1.6692544420663369,2.007624016919745,15.94233433415114,0.0
17.0,172.0,6.7678638,4.533021,16.089603,10.728289,42.710606,0.1082314049586776,0.4844464369878819,1.322499173553719,1.268019834710744,17.255152478238152,1.400000000000002
17.0,170.0,6.015413,4.029125,15.244424,10.751655,43.24646,0.1078633755904813,0.5147806523266478,1.3877990400324212,1.6196603386481934,18.046318656058915,-7.0
17.0,169.0,5.8989563,3.9148927,15.310473,10.736938,43.23806,0.0954260380622837,0.5334127451123049,1.5963992214532872,1.8191500865051904,18.232806774295337,6.300000000000004
17.0,174.0,6.7715416,4.4995027,16.034456,10.468309,42.410683,0.1286126460951635,0.5490448231697626,1.954227590591227,1.8730500268961805,15.362284188647752,1.5
19.0,141.0,6.559134,4.4605646,15.375962,11.300495,42.391518,0.0658973056388923,0.5914035576380969,1.4081990625808738,1.9651487122468343,19.04356750659486,30.00000000000001
19.0,142.0,6.558856,4.4587045,15.1932745,11.367203,42.479214,0.0552847365702479,0.6159274693877897,0.7489346590909091,1.4860537190082646,20.045703336915743,43.2
19.0,143.0,6.5505533,4.4568224,15.082181,11.393726,42.440968,0.0594048318916043,0.6130776358847895,1.8393941938915483,1.1390778533635677,20.38186560744549,60.0
19.0,144.0,6.535586,4.4272146,15.381261,11.385987,42.502323,0.0601813333333333,0.5626789073499596,1.4615182222222225,1.5486862222222222,20.281868119064228,47.4
19.0,145.0,6.5435157,4.4179187,15.757867,11.456298,42.47626,0.0653326600176745,0.5253018199174591,1.3563943946471406,1.3268526701174097,19.84943741847171,55.5
22.0,207.0,6.6900854,4.4670186,16.306353,10.273417,43.17787,0.0862057752341311,0.5494099260455592,3.144494667013527,2.173630983350676,27.7972282134028,27.0
22.0,208.0,6.624342,4.407429,16.25911,10.3756895,43.063553,0.0752970289649826,0.5805787459809325,3.0755206392272028,2.3770963462083152,27.886145273544457,30.0
22.0,209.0,6.5448866,4.3216434,16.05782,10.066205,42.996937,0.0920310819039085,0.5792789709402458,3.2169959838343813,3.672447463316602,28.76569963179005,38.0
22.0,210.0,6.4403396,4.1864257,15.976151,10.2330675,42.934162,0.1065760829863393,0.5410441012243835,4.319953247132735,3.1705340054058,28.099959370235517,42.400000000000006
22.0,211.0,6.342981,4.068065,15.987521,10.409374,43.023247,0.1295080053899776,0.4901779540441087,4.276066589565936,2.987872550371887,27.41979685970727,47.0
23.0,258.0,6.713077,4.4447484,15.808547,10.647918,41.972145,0.4184243460211837,0.4396511069200739,3.7236653337810206,2.934098470742652,20.597775757898827,37.1
23.0,259.0,6.703545,4.431463,15.774047,10.60239,42.00582,0.408137326515705,0.4550013929791334,3.0489408327246164,3.105478451424398,20.979144153926505,42.0
23.0,260.0,6.7066135,4.4524484,15.729255,10.083923,42.099,0.3790577777777777,0.4298475077589395,3.2172373333333337,3.6461795555555554,21.416119520873803,40.0
23.0,261.0,6.727121,4.454376,15.799283,9.820464,42.338684,0.3820239334027055,0.4340973511735777,4.128569776852816,3.898340848653024,21.365976709483643,36.0
23.0,262.0,6.747677,4.4550033,15.913558,9.814234,42.25982,0.3934609346697258,0.4268193102096991,4.454564666103128,4.270800627943485,21.235861145493296,34.300000000000004
24.0,137.0,1.4051224,0.60708344,9.992679,4.2508616,14.937252,0.2474673008323424,0.5468091614545758,3.254411414982164,2.841189060642092,38.038999366531336,41.900000000000006
24.0,135.0,1.2056109,0.3323002,9.016458,4.4464893,15.009438,0.2760423897450136,0.5524222912063468,3.7260863529085104,2.8707482993197284,37.2412961759734,39.0
24.0,138.0,1.6524795,0.998003,10.502493,4.323219,15.099201,0.2512170518836893,0.5333035706362216,3.516687864567343,2.9516687864567337,38.49672591490535,43.1
24.0,139.0,1.4749595,0.98654306,10.215563,4.096853,15.012692,0.246429010861176,0.5664469149561875,3.277055066498138,3.0788022505341104,37.991417873636536,44.2
24.0,134.0,1.363048,0.41486728,10.208298,4.388674,14.816792,0.2688754264347023,0.5450675622731309,3.246488363340577,2.9939176146365742,36.37004715886152,45.2
25.0,195.0,6.131344,4.302468,15.013955,7.789011,43.859646,0.1271626297577854,0.4598424514584613,1.9796712802768168,1.7060986159169549,22.92819665161845,29.0
25.0,197.0,6.1213026,4.301089,14.862067,7.7221365,43.48786,0.1299510964526835,0.5639131518526221,1.6868518729128112,1.8653446511098932,21.657093123556155,24.0
25.0,198.0,6.0018644,4.2285953,14.324092,7.6932535,43.028336,0.1211100908070604,0.5538884463767051,1.748619755353762,2.120282510854901,20.26804497128967,40.0
25.0,199.0,5.9157248,4.15918,14.142906,7.6486588,42.997654,0.1277913304559955,0.5829499852599819,2.4668324263464063,1.848939763557891,19.843959386918517,41.0
25.0,196.0,6.1214743,4.2953424,14.9428,7.7085447,43.764328,0.1235361471051706,0.5410796606359204,1.939598000204061,1.714881701413688,22.36297988117329,29.0
26.0,147.0,6.4607983,4.212911,15.006654,9.487191,44.915447,0.1070547249237915,0.3363559423771063,1.4359123239947744,1.262737697779068,16.72291758896659,29.0
26.0,145.0,6.5211725,4.245292,15.07138,9.442664,44.348747,0.1410618679357525,0.3592537371916167,1.2986317668054728,1.488994646044021,18.346639090311303,26.500000000000004
26.0,143.0,6.779179,4.4391527,15.906571,10.37657,44.8047,0.118543388429752,0.4345770883916648,1.587680785123967,1.7829287190082643,19.752053067279537,46.5
26.0,142.0,6.8079786,4.4342456,16.153019,10.576715,44.525837,0.0958299779419488,0.4140089715613727,2.8139771016421,1.2899408284023668,19.58499560704632,31.0
26.0,141.0,6.853772,4.4676375,16.326477,10.752573,44.19365,0.1061837712294963,0.4001347236188916,2.039628393090434,1.4086224415735231,19.13603474963119,28.0
27.0,257.0,6.3950415,4.532581,16.663754,10.824839,40.319862,0.1802045004484264,0.7291740678717802,3.270775406899249,3.647826761282027,28.7424595646882,64.60000000000001
27.0,258.0,6.3788457,4.489229,16.737736,10.869831,39.81985,0.153083300303871,0.7288700467438798,2.666369401506143,2.591846677236095,28.130666619238788,73.0
27.0,259.0,6.2925406,4.436655,16.93227,11.127072,39.535072,0.150302241088658,0.7248782854500194,2.9060229872395835,2.5309450418888644,28.327973387134747,75.2
27.0,260.0,5.926281,4.166924,17.09694,11.382566,40.717236,0.1416617707276256,0.72371646224637,2.8599682307955554,2.0394879737933738,28.21965351439386,76.0
27.0,261.0,6.0501018,3.9880595,17.358202,11.299322,40.38626,0.1402908486085846,0.7316945667941797,3.120080775542331,2.041124301661847,27.969782698697824,77.0
