Patient,Slice,Feature_494,Feature_435,Feature_305,Feature_74,Feature_213,Feature_398,Feature_39,Feature_472,Feature_355,Feature_249,Feature_319,Feature_308,Feature_176,Feature_493,Feature_32,Feature_474,Feature_137,Feature_29,Feature_117,Feature_452,Feature_349,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
5.0,178.0,0.0,0.0,959.14935,324.6771,334.15228,407.93143,158.72212,326.0541,33.356014,71.77969,90.079025,0.0,105.57236,252.1517,27.39159,435.84286,780.3935,451.6878,13.394897,0.0,179.26552,0.1946457814168743,0.47218271411216,2.52368814524742,3.9291420434318254,14.586141402409188,22.0
5.0,177.0,0.0,52.005756,834.41614,364.20312,296.9032,373.2259,211.61299,349.4302,0.0,117.34003,104.007996,0.0,121.61264,230.57654,27.766357,427.6204,812.2707,509.07004,58.808514,41.27862,134.82068,0.217113325163834,0.4795872459423196,2.7024348660024504,3.0968085673184502,15.183555370988309,26.0
5.0,176.0,0.0,183.8129,794.5869,405.2864,376.87766,392.21887,324.3963,425.0297,0.0,109.04317,71.75282,0.0,142.74089,220.19931,50.8164,434.8562,680.73047,597.8806,74.44238,91.69208,98.14701,0.253113854595336,0.4291053418653164,4.207352537722909,3.4784636488340195,15.791018619120305,28.0
5.0,175.0,0.0,201.80399,879.77216,470.4253,426.21082,446.17798,408.80908,460.6982,20.059952,78.40523,64.0616,0.0,174.31842,234.32118,86.20571,410.58438,614.936,633.942,58.819878,38.66576,52.696503,0.3100274038971067,0.3465281229786165,3.852412602764614,3.74243364774637,15.494964677986356,21.0
5.0,174.0,0.0,286.48312,913.1896,688.36896,443.60834,468.4664,397.29013,446.20193,5.3521075,67.99519,67.496895,0.0,193.65741,291.68033,160.45856,361.69742,545.5556,683.50116,90.879074,90.556656,126.39694,0.3064404138935461,0.3319489839423772,3.501227793866111,2.6888516316957105,15.976001498204443,14.0
12.0,179.0,1696.6824,298.1717,1165.3207,917.1284,748.31995,1210.3777,391.77655,419.91083,0.0,565.76715,287.59833,132.53969,17.11666,527.3167,70.04951,558.1255,59.506935,84.31753,436.9749,196.51176,111.21798,0.1833929670667898,0.4863776483231696,3.5952600800246235,3.5535549399815327,24.428345086426287,29.0
12.0,178.0,1631.1775,301.5063,1108.2173,926.1609,790.61523,1120.8137,362.28244,460.43808,0.0,437.04767,320.34076,50.176605,45.113956,496.81625,73.38765,550.45013,90.60961,171.26483,415.68756,275.7455,0.0,0.1886750865128171,0.4986766988812451,3.6206881350702016,3.6161916727280734,23.28736523688517,34.0
12.0,177.0,1584.5742,306.3319,1129.3517,980.9732,1099.9255,1042.3792,379.81384,327.9309,0.0,372.8497,317.785,84.318054,47.587242,472.086,76.21647,540.76544,63.51595,348.586,374.62625,326.00488,0.0,0.2099653681978039,0.4977122863143569,3.5615989690998413,4.485328465193697,22.18461217130223,33.0
12.0,181.0,1787.9287,327.8207,1396.635,1182.0653,952.7235,1242.0826,429.03464,371.77988,0.0,588.99066,208.41554,215.40352,44.51895,539.07623,70.07236,519.9783,17.378254,239.43227,407.93903,421.27316,152.00272,0.1526091841809574,0.5306155845619123,3.7492309675993294,3.2495164766343088,24.53785670735453,21.0
12.0,180.0,1790.7104,341.8153,1296.6427,1074.9832,909.8184,1255.143,424.80008,406.3107,0.0,595.8125,209.41759,225.57558,34.096073,544.20734,68.900566,559.647,41.270454,157.95775,459.65173,364.52078,187.02771,0.1643149497051682,0.4796960529615165,3.3899225343970403,3.897282922881257,24.67436026693463,33.400000000000006
15.0,202.0,1271.4818,838.56885,1353.1564,2698.1453,665.09125,1788.9608,675.8827,539.8627,591.0215,535.1916,417.3467,386.43475,298.14996,563.428,37.270866,160.00441,402.15054,799.2133,633.99756,514.6006,0.0,0.3221842447916667,0.5779415975920105,4.036431206597222,4.966118706597222,27.690093932173088,42.0
15.0,203.0,1230.7468,866.98376,1314.6526,2667.6858,542.21185,1801.8707,683.06195,644.88055,766.5013,370.8275,495.1154,368.4409,333.80545,540.8534,33.898262,145.25578,414.56467,814.55115,679.9241,618.1986,0.0,0.2938602378587345,0.5439338284150292,4.248463045987812,4.654514215146715,27.672782480632623,41.5
15.0,211.0,1574.0931,700.1891,1238.1396,2267.7012,317.21802,2225.4883,446.71115,877.57245,804.68243,337.7754,351.13556,658.88806,483.30115,604.75696,10.521906,176.71465,767.4866,317.96164,1145.1744,834.6556,0.0,0.3851470044378698,0.4232517646001604,4.099089312130177,4.067284578402367,23.566320658658785,29.0
15.0,209.0,1419.1322,716.1601,1317.4578,2229.2083,261.93552,2048.8413,544.6788,939.1717,972.99493,693.41943,364.68112,827.4587,526.8267,629.4944,12.474831,377.2555,849.6745,547.6361,983.90485,878.99567,0.0,0.3523084852430555,0.4020241861151268,5.228732638888888,4.3271484375,24.887538078520045,30.300000000000004
15.0,210.0,1532.4208,714.1136,1322.3391,2208.1196,164.90074,2142.4824,503.58887,901.5926,901.0235,487.43457,351.33722,768.26184,554.6398,615.8845,16.937037,307.95093,814.9469,432.59418,1061.4668,870.1778,0.0,0.3433194527067222,0.3917420254201125,4.624770969660916,3.91614515169542,24.223186554680797,26.0
16.0,182.0,1653.5273,420.60605,1533.6985,2018.9551,1092.4993,1409.067,1074.2009,572.504,756.68616,374.78574,173.60944,0.0,20.31133,546.4453,68.75792,321.28735,736.15826,977.32806,285.8795,516.7078,460.16916,0.2458191609977324,0.3863220182105313,3.0480442176870746,2.375708616780045,18.79340397084996,13.7
16.0,183.0,1638.4918,419.15042,1472.1699,1780.6488,1297.2821,1433.4226,1186.3269,589.97406,618.4678,330.50723,158.48318,0.0,214.88342,560.6159,66.52264,383.85364,571.91364,865.86304,282.42725,610.17786,362.2051,0.2067786705624543,0.458606373346126,2.974317019722425,2.433484295105917,17.325093869967198,13.0
16.0,185.0,1535.2484,453.39066,1659.4526,1388.377,1171.6692,1544.5995,1299.807,570.7239,549.4739,275.57257,135.34412,14.373417,551.8154,621.17566,68.27716,440.91354,189.69255,539.8707,370.2578,762.55676,206.67986,0.1430105506188085,0.4690608568258768,1.8757013611103652,2.2764101049692607,15.1838427779591,20.0
16.0,184.0,1582.9078,450.22375,1601.2875,1652.3717,1152.6837,1488.7905,1278.3529,521.0006,574.8587,312.8698,142.40134,0.0,366.74173,596.9319,66.78685,418.48727,408.16232,798.4906,304.2284,660.75415,189.43027,0.1512842301471999,0.483829447473482,1.9749458622296536,2.301471999122831,16.097432095332227,18.0
16.0,186.0,1493.1273,462.15784,1614.8911,1220.6118,1375.3915,1593.979,1319.2924,683.0727,556.2425,247.37486,127.236534,121.86191,667.48737,640.8748,68.61088,452.59256,130.88927,369.82468,351.7761,906.93365,175.97055,0.1748757081743554,0.4678055365642557,2.6852815354376225,4.160480980460169,14.24076130936194,19.5
17.0,173.0,1228.9215,996.707,1438.8665,1507.6671,733.7929,1435.0374,566.9507,645.81055,0.0,394.18964,509.92682,0.0,34.234177,686.81537,353.10782,723.8375,491.33594,164.2184,22.67033,0.0,298.71017,0.1233140411089018,0.5501355641720928,1.6692544420663369,2.007624016919745,15.94233433415114,0.0
17.0,172.0,1112.3898,1027.375,1493.9563,1625.544,682.2986,1564.9897,662.26215,633.9891,0.0,361.90762,433.88284,0.0,102.10185,657.1069,352.91116,645.4997,552.7438,243.96895,18.700798,0.0,193.59117,0.1082314049586776,0.4844464369878819,1.322499173553719,1.268019834710744,17.255152478238152,1.400000000000002
17.0,170.0,1247.7742,1007.62463,1599.5139,1771.2805,549.71686,1535.8864,1143.0656,641.1783,0.0,440.0435,338.48895,0.0,12.237305,474.06705,342.51294,544.739,583.11414,227.88667,222.24588,0.0,0.0,0.1078633755904813,0.5147806523266478,1.3877990400324212,1.6196603386481934,18.046318656058915,-7.0
17.0,169.0,1062.3628,1007.65607,1757.4891,1812.0966,585.07056,1622.6282,1238.6968,628.617,0.0,503.9085,342.71692,0.0,0.0,457.68292,413.63376,604.5559,730.41907,285.64786,434.533,0.0,0.0,0.0954260380622837,0.5334127451123049,1.5963992214532872,1.8191500865051904,18.232806774295337,6.300000000000004
17.0,174.0,1269.4261,1002.1058,1371.802,1557.6753,654.68567,1428.9204,472.03842,591.87286,0.0,443.45593,511.6325,0.0,22.342468,692.79944,343.01373,575.53235,407.11243,63.110973,0.0,2.9504285,165.66501,0.1286126460951635,0.5490448231697626,1.954227590591227,1.8730500268961805,15.362284188647752,1.5
19.0,141.0,1404.7949,683.1865,1407.6852,1093.4962,882.5717,2194.932,601.9207,587.28973,82.16319,569.8727,238.82214,444.13065,611.50635,649.53784,3.4101858,481.6379,569.11206,902.32367,481.9504,54.07293,286.27472,0.0658973056388923,0.5914035576380969,1.4081990625808738,1.9651487122468343,19.04356750659486,30.00000000000001
19.0,142.0,1466.4993,676.30664,1379.3389,1286.9685,896.5848,2160.9487,628.3755,616.2214,15.343545,620.11926,237.20517,336.921,559.0284,660.19684,6.312608,441.96268,589.0943,791.9822,484.38974,0.0,200.72166,0.0552847365702479,0.6159274693877897,0.7489346590909091,1.4860537190082646,20.045703336915743,43.2
19.0,143.0,1521.5728,687.1608,1285.4681,1480.2087,732.29846,2147.4646,608.5327,600.43,29.01528,686.30383,222.67198,178.63022,581.35114,677.43,5.494721,375.5771,564.4901,648.86816,550.5894,0.0,149.49623,0.0594048318916043,0.6130776358847895,1.8393941938915483,1.1390778533635677,20.38186560744549,60.0
19.0,144.0,1565.7092,717.802,1287.3588,1678.7667,635.7126,2122.0842,552.8514,575.32574,1.9437336,574.95496,235.34215,135.43857,609.3619,671.2606,0.0,363.07343,554.54144,453.17056,603.696,83.650085,144.66394,0.0601813333333333,0.5626789073499596,1.4615182222222225,1.5486862222222222,20.281868119064228,47.4
19.0,145.0,1456.8145,744.40576,1145.8429,1813.2582,846.9658,2108.2236,493.27087,691.4305,30.144085,519.5667,220.82242,224.74457,587.434,670.8007,0.0,301.09012,421.51715,427.1343,557.4062,210.17958,69.56335,0.0653326600176745,0.5253018199174591,1.3563943946471406,1.3268526701174097,19.84943741847171,55.5
22.0,207.0,2002.9918,561.6818,1295.5271,527.8631,1040.2966,2329.3833,939.00226,749.3598,0.0,126.92237,254.44392,408.04858,478.42877,547.6301,63.47861,1082.0397,421.5996,45.243546,1201.648,15.954214,494.1378,0.0862057752341311,0.5494099260455592,3.144494667013527,2.173630983350676,27.7972282134028,27.0
22.0,208.0,2105.1824,788.2368,1484.4564,554.5016,1202.4075,2270.5908,1096.966,743.2374,0.0,118.57577,240.68764,308.64536,705.7911,609.57654,89.47926,1202.2903,172.38364,0.0,1037.214,66.20747,402.50244,0.0752970289649826,0.5805787459809325,3.0755206392272028,2.3770963462083152,27.886145273544457,30.0
22.0,209.0,1945.5571,894.90234,1522.5737,532.2724,1134.4128,2324.722,1268.9382,814.6589,0.0,216.72066,266.05338,328.31122,848.07794,664.9071,69.355286,1289.6183,11.386107,0.0,912.58734,135.51498,251.53549,0.0920310819039085,0.5792789709402458,3.2169959838343813,3.672447463316602,28.76569963179005,38.0
22.0,210.0,1790.831,888.9851,1638.0554,815.8925,1160.4618,2360.9724,1466.1292,864.0829,0.0,195.25674,251.76654,336.7638,1072.9574,693.9031,49.633514,1276.2352,118.25965,0.0,885.164,332.1221,104.797714,0.1065760829863393,0.5410441012243835,4.319953247132735,3.1705340054058,28.099959370235517,42.400000000000006
22.0,211.0,1587.0717,892.679,1760.2838,1083.915,829.14246,2401.21,1399.2733,952.9997,102.83422,256.50244,199.93513,322.18118,1181.4115,694.0281,37.477703,1236.476,221.60577,105.92023,773.07294,562.9855,93.00424,0.1295080053899776,0.4901779540441087,4.276066589565936,2.987872550371887,27.41979685970727,47.0
