Patient,Slice,Feature_194,Feature_129,Feature_655,Feature_414,Feature_1219,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
5.0,178.0,0.40497887,0.26914924,0.32731068,0.41794088,0.0,0.1946457814168743,0.47218271411216,2.52368814524742,3.9291420434318254,14.586141402409188,22.0
5.0,177.0,0.3482715,0.32260722,0.3283218,0.32404593,0.0,0.217113325163834,0.4795872459423196,2.7024348660024504,3.0968085673184502,15.183555370988309,26.0
5.0,176.0,0.35795933,0.25754863,0.36104736,0.3078096,0.0,0.253113854595336,0.4291053418653164,4.207352537722909,3.4784636488340195,15.791018619120305,28.0
5.0,175.0,0.3611098,0.1824254,0.38305146,0.39227897,0.0,0.3100274038971067,0.3465281229786165,3.852412602764614,3.74243364774637,15.494964677986356,21.0
5.0,174.0,0.3591898,0.27552205,0.3755116,0.41265073,0.0,0.3064404138935461,0.3319489839423772,3.501227793866111,2.6888516316957105,15.976001498204443,14.0
12.0,179.0,0.046391122,0.4135111,0.3852391,0.35462642,0.0066792145,0.1833929670667898,0.4863776483231696,3.5952600800246235,3.5535549399815327,24.428345086426287,29.0
12.0,178.0,0.057225853,0.4219392,0.39539564,0.35331106,0.0009947345,0.1886750865128171,0.4986766988812451,3.6206881350702016,3.6161916727280734,23.28736523688517,34.0
12.0,177.0,0.062262278,0.42271656,0.38639098,0.3526463,0.0,0.2099653681978039,0.4977122863143569,3.5615989690998413,4.485328465193697,22.18461217130223,33.0
12.0,181.0,0.057240658,0.3895015,0.3967755,0.34400773,0.01926718,0.1526091841809574,0.5306155845619123,3.7492309675993294,3.2495164766343088,24.53785670735453,21.0
12.0,180.0,0.042391777,0.39331597,0.39040232,0.35115942,0.012623165,0.1643149497051682,0.4796960529615165,3.3899225343970403,3.897282922881257,24.67436026693463,33.400000000000006
15.0,202.0,0.117029354,0.42859542,0.3907534,0.374852,0.03991203,0.3221842447916667,0.5779415975920105,4.036431206597222,4.966118706597222,27.690093932173088,42.0
15.0,203.0,0.10951303,0.42391336,0.42248,0.34675,0.041862182,0.2938602378587345,0.5439338284150292,4.248463045987812,4.654514215146715,27.672782480632623,41.5
15.0,211.0,0.120542,0.3831026,0.4779604,0.294546,0.050862134,0.3851470044378698,0.4232517646001604,4.099089312130177,4.067284578402367,23.566320658658785,29.0
15.0,209.0,0.1806035,0.42611957,0.46743774,0.30061972,0.030044295,0.3523084852430555,0.4020241861151268,5.228732638888888,4.3271484375,24.887538078520045,30.300000000000004
15.0,210.0,0.1485917,0.39213884,0.46787065,0.29033682,0.03931717,0.3433194527067222,0.3917420254201125,4.624770969660916,3.91614515169542,24.223186554680797,26.0
16.0,182.0,0.078343764,0.14829867,0.42979437,0.34969088,0.0,0.2458191609977324,0.3863220182105313,3.0480442176870746,2.375708616780045,18.79340397084996,13.7
