Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,3.3228085,11.027897,0.0,11.966577,13.055032,18.206022,16.182138,0.58796096,6.355293,1.1479354,0.13958272,13.795131,8.763226,12.931548,15.70686,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,8.779702,8.464727,0.0,14.155173,7.7006664,26.86778,10.602427,1.8551487,3.410174,1.2705705,2.5721476,11.693795,19.732927,0.0,31.814299,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,7.164153,8.640262,0.0,12.210374,5.800802,29.422882,14.624244,1.4175988,4.3679895,6.520109,3.9898999,11.519731,17.064035,9.548913,30.413813,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,8.943247,6.070258,0.0,10.64898,10.773478,27.964964,8.8920965,1.748443,1.9903194,1.7339449,3.6680663,15.766715,16.648672,0.0,35.97353,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,6.5190663,3.688466,0.27082306,5.9076,8.22965,27.290565,8.350729,0.4875103,3.5230284,1.8148339,2.4346592,10.0666065,18.101038,0.45799813,30.415709,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,11.498502,8.02553,3.52344,3.0916402,5.8905835,27.851974,10.131073,1.552024,3.6065216,1.1595073,5.060581,11.353194,18.316053,0.0,32.10968,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,17.10593,8.842855,1.7090802,0.031676803,2.3771687,24.893606,11.966856,2.6028664,4.715823,9.303636,3.6700618,10.655472,13.239143,1.6488595,27.37847,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,13.390391,6.233864,0.0,10.383175,5.777405,32.499363,10.511751,2.4231095,3.8073688,1.6263285,2.8203661,9.697182,19.751465,0.0,32.505917,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,0.6922651,2.7346702,0.0,15.279468,6.1928773,19.689205,9.175882,0.0,0.3883103,10.615606,6.0671053,14.703866,9.085015,2.2642303,14.649639,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,11.49284,5.2424126,1.0144038,5.189401,3.0071046,27.554379,14.975962,2.8969119,4.856274,4.9150233,5.578659,16.020256,18.822437,7.734305,33.949898,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,9.130455,13.170581,1.3387892,1.0230241,9.931756,28.393497,7.320987,4.103825,6.0789537,3.4964516,4.6095295,16.24451,17.620733,0.0,32.844482,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,2.8068829,8.569047,2.5108104,8.946721,1.2285421,34.843758,9.134263,6.7179437,1.4741784,2.3001962,8.789462,8.80316,12.400795,4.3920827,16.168297,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,9.981089,8.154009,1.1567564,14.134703,11.178001,27.244497,10.421154,0.5769228,1.1632009,1.5364449,2.8125901,14.29766,16.389608,0.0,33.915157,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,8.563753,15.201392,0.123380736,8.679468,12.78145,27.653643,2.8291743,2.291493,2.9820318,1.6442871,1.7438195,13.405588,21.263523,0.0,36.270977,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,9.25721,8.070179,0.0,11.37707,10.517753,31.187002,8.878506,3.7821636,3.7814965,4.192884,1.9199345,9.686158,17.395922,0.0,28.888666,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,13.507103,10.768932,3.016121,1.5742702,4.5675344,23.358406,13.301925,4.836433,3.7733817,6.237982,4.721776,16.572405,17.113096,0.0,34.458652,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,10.701137,6.704535,0.0,1.8824986,8.087037,21.954815,10.34453,1.4660002,1.4129719,4.8116913,2.8347542,13.973712,13.935182,0.0,27.101599,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,11.368854,9.19552,0.8254205,6.5168633,5.4568734,36.89417,10.300996,0.052014858,2.3746347,3.076919,1.1905235,13.506394,19.092611,0.9519521,33.29912,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,9.287117,9.421792,0.42569053,6.0790296,4.392735,29.921085,15.464545,5.770752,3.8335752,0.69132286,6.384104,12.21402,18.765606,7.82152,29.18038,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,11.7508955,5.87778,3.312098,7.8191442,5.9306054,27.19652,8.845695,3.303328,2.8173995,2.6188405,5.871187,13.137377,20.452139,0.0,38.244724,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,8.182416,8.18046,0.31999826,12.260671,11.29317,28.832119,8.995358,0.9938601,2.9004526,1.9241459,1.8615267,15.41269,19.058008,0.0,33.837814,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,12.404265,4.339454,1.9232743,1.9505324,3.6085067,25.176495,13.870698,2.6334279,8.799901,4.428772,4.3758936,11.632426,19.600443,6.8932695,34.1648,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,6.675287,3.366961,0.0,6.052508,9.016336,14.784519,18.293217,4.1274242,3.6495175,12.429593,3.491539,12.72592,9.82174,14.844445,12.591813,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,7.033512,9.820419,0.0,9.638343,7.148356,23.217142,11.470426,0.0,5.6294484,11.603871,2.9777071,13.678066,10.741248,1.97945,17.177607,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,6.9361167,14.54,3.3446908,10.185468,8.554382,28.171251,7.30641,1.3105236,1.5122571,0.97832197,2.6842146,14.338785,14.843632,0.0,29.828106,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
