Paziente,1700,101,856,807,1386,1500,1261,85,1199,944,120,116,1120,619,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,3.3504796,16.36869,11.98875,7.247286,0.4040146,3.960343,5.15446,1.6181388,0.6940479,0.79434043,1.882741,1.852113,3.8226523,4.8118534,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,3.5954304,16.439102,12.0110235,7.072356,0.38106835,3.8821268,5.002502,1.7069025,0.46646428,0.8348606,1.886857,1.8431749,3.8069725,4.7708387,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,3.3996787,16.329142,11.904168,7.0666428,0.4161222,3.862059,4.9750204,1.612304,0.4998778,0.80355126,1.8207569,1.8274248,3.800715,4.7529225,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,3.4355688,16.348745,11.90647,7.0212765,0.4079213,3.8136182,4.9874187,1.5946574,0.49070585,0.828693,1.8780041,1.8152928,3.8071728,4.767632,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,3.4197683,16.312428,11.824684,7.0851946,0.34614456,3.931169,4.9883957,1.5858574,0.4948895,0.8297942,1.9039149,1.8579564,3.7986155,4.8621817,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,3.5406952,16.343472,11.77932,7.0946064,0.5158782,3.8417678,5.021854,1.6868827,0.4785267,0.9025586,2.1168122,1.8968322,3.8314052,4.951363,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,3.408103,16.33533,11.952813,7.099169,0.43026996,3.8533173,5.005601,1.590625,0.44785345,0.86244184,1.857204,1.8251302,3.8074622,4.7621646,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,3.497088,16.359156,11.996542,7.062004,0.44300973,3.8988628,4.99599,1.6250932,0.5084646,0.85542876,1.8846397,1.8545396,3.8153138,4.7710676,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,3.4783244,16.317097,11.950084,7.0377035,0.54773414,3.856048,4.9361286,1.63134,0.51620245,0.7638152,1.8345947,1.8251665,3.8554344,4.7355123,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,3.3927836,16.305893,11.813466,7.114208,0.3943658,3.9643688,4.994691,1.6102347,0.397465,0.75468785,1.8130906,1.8643897,3.780118,4.802134,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,3.3828454,16.303944,11.974547,7.0566235,0.39901114,3.8689232,4.9956403,1.5648847,0.46595252,0.8353916,1.82692,1.8410776,3.7640452,4.771872,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,3.408012,16.317894,11.956341,7.1125984,0.40436542,3.868719,4.985011,1.6111639,0.48513782,0.7839077,1.796042,1.800859,3.8063235,4.7595277,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,3.4581633,16.333696,11.882576,7.1009293,0.44415712,3.901576,4.9973955,1.6393962,0.45658886,0.8416725,1.8465619,1.8389716,3.8021607,4.7368493,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,3.4099483,16.324436,12.020609,7.2010956,0.40579164,3.881411,5.1108937,1.6109896,0.47583103,0.81471974,1.8744674,1.9036818,3.8220468,4.6226068,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,3.2377305,16.35722,11.909885,7.2344265,0.37689722,4.0820613,4.9995003,1.5573747,0.47464597,0.8197821,1.7740197,1.8887193,3.8233132,4.873488,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,3.4243631,16.31756,12.012095,7.0854244,0.42489195,3.8718061,4.9868755,1.5852194,0.5300697,0.8166259,1.8881006,1.8498425,3.8439827,4.775531,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,3.4557638,16.316608,11.977605,7.0567007,0.42969048,3.8685722,4.9783673,1.5788417,0.49212265,0.83741945,1.8310795,1.8342555,3.800171,4.7734814,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,3.4153562,16.334206,11.896588,7.129593,0.42661178,3.87039,5.0304594,1.6017611,0.4887563,0.8222435,1.9205334,1.8539946,3.8332872,4.817635,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,3.428985,16.340504,12.00554,7.05342,0.42975378,3.855857,4.9716487,1.6036875,0.4899732,0.8099664,1.8210406,1.8134027,3.7922034,4.7322474,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,3.4145489,16.330252,11.88662,7.0958614,0.42993617,3.858976,5.015991,1.595959,0.50330424,0.80886334,1.8394427,1.7933278,3.8309212,4.7699738,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,3.3509827,16.341991,11.815229,7.058428,0.5278566,3.8844037,5.008845,1.574451,0.4378636,0.84030074,1.9012003,1.8313687,3.78517,4.7567954,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,3.3436818,16.366894,11.927427,7.06678,0.42536914,3.9149456,4.9984355,1.6331816,0.49173212,0.7813578,1.8413949,1.8606985,3.7850795,4.7614193,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,3.4290614,16.31389,11.859014,6.865967,0.43963218,3.8289113,4.8078732,1.6136239,0.5116241,0.78278524,1.8613508,1.8835118,3.8463368,4.7622743,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,3.4188814,16.357021,11.974132,7.06787,0.4837768,3.8778605,4.944784,1.683249,0.5078726,0.81760794,1.8991013,1.8388398,3.8088531,4.7632504,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,3.5685725,16.427969,11.946504,7.0479727,0.42986763,3.9329114,4.975296,1.6926026,0.53218377,0.8114323,1.8069468,1.8452003,3.811082,4.81638,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
46,3.4436064,16.337355,11.905604,7.0042467,0.456123,3.893303,4.957154,1.6098411,0.52130795,0.806964,1.8835511,1.845938,3.8086596,4.7479444,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,3.4068227,16.323713,11.98451,7.152376,0.4643154,3.8839402,5.0181837,1.5967147,0.5101329,0.8177232,1.8553724,1.8483028,3.8237848,4.763762,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,3.5203686,16.272297,12.038203,7.0663347,0.5096861,3.92409,4.991398,1.6160641,0.50660014,0.8180967,1.7620819,1.8360732,3.7778368,4.7161,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,3.3812337,16.342203,11.952869,7.039016,0.3079077,3.8640242,4.977366,1.6553018,0.48168194,0.83247715,1.8559389,1.8501275,3.8608918,4.758766,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,3.4273076,16.3061,11.9966955,7.0920715,0.4125384,3.891368,4.9909525,1.5850973,0.5261191,0.82739073,1.8097811,1.8286486,3.8521552,4.7197485,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,3.3976421,16.328703,11.750471,7.012021,0.4035858,3.9143453,4.967699,1.5805545,0.47658944,0.8218275,1.9283919,1.8841918,3.8154025,4.838164,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
54,3.4628935,16.326166,11.989618,7.087824,0.46935833,3.8711958,4.9922743,1.5531588,0.49329484,0.8018375,1.818542,1.8146114,3.7726564,4.7497764,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,3.4173584,16.317812,11.926937,7.052267,0.43212223,3.8894525,4.979812,1.5990183,0.49449575,0.8182706,1.8502507,1.8420613,3.7944508,4.745119,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,3.5178947,16.438091,11.865683,7.041274,0.43997538,3.8529158,4.9668436,1.6915743,0.49932826,0.81672555,1.9373286,1.8179393,3.8186283,4.8161674,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,3.4105783,16.335068,11.854612,7.210248,0.41661882,4.0422726,5.0278697,1.5901856,0.4735452,0.8461321,1.9072595,1.8279951,3.885675,4.7840266,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,3.436222,16.332432,12.056843,7.0314484,0.4032966,3.8508701,4.972054,1.5960057,0.50005734,0.8000818,1.8248816,1.8224175,3.8087296,4.763844,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,3.4192986,16.328583,12.000735,7.0479107,0.4344735,3.8811712,4.9768944,1.5976465,0.50301945,0.8234444,1.8471918,1.836386,3.8069472,4.7302923,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,3.4264898,16.303947,11.766574,7.0843325,0.38014042,3.8902922,4.9819827,1.5636396,0.47677636,0.88279563,1.969821,1.8736742,3.7966828,4.8863983,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,3.426166,16.340216,11.961493,7.066803,0.43441153,3.8846526,4.9965577,1.5915821,0.5041194,0.8247549,1.8919754,1.7719889,3.8387632,4.874188,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,3.4111943,16.326576,12.10494,7.090473,0.21574545,3.9036684,4.9959908,1.5868692,0.49732697,0.8295687,1.7975655,1.8338752,3.8353863,4.7324147,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,3.5037374,16.82658,11.813961,6.9990864,0.596941,3.8787308,4.934,1.936661,0.6461122,0.82005864,1.9252763,1.8922336,3.854669,4.7772245,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,3.4936724,16.310577,11.8182335,7.145195,0.52971196,3.9763336,4.981575,1.6930544,0.48195076,0.82805425,1.9554,1.8972363,3.800321,4.87032,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,3.416534,16.32056,11.989442,7.113637,0.42380106,3.8952036,5.0225596,1.5811787,0.5030241,0.83537036,1.8202891,1.8137047,3.8141422,4.739605,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,3.3510075,16.315285,11.969635,7.046816,0.38963044,3.8976202,4.9479833,1.6770704,0.5180309,0.7989417,1.7926536,1.8290575,3.7928796,4.807275,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,3.4201474,16.3087,11.983507,7.0909433,0.4178779,3.9099975,5.004665,1.5969791,0.50188935,0.8092032,1.8385868,1.8226731,3.778366,4.725351,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,3.646525,16.448704,11.930512,7.079031,0.44984746,3.8806772,4.948947,1.7111654,0.50482845,0.8150571,1.8527722,1.8702846,3.8869538,4.7906284,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,3.4137063,16.329224,11.968991,7.049757,0.41800487,3.8482742,5.0064197,1.5835285,0.50234544,0.81641823,1.8703463,1.7973783,3.8108664,4.727993,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
