Paziente,89,214,229,237,425,499,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,18.279585,30.853172,15.640133,0.1637006,4.871236,0.2855999,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,18.246733,30.851759,15.623245,0.16888963,4.853005,0.2634752,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,18.246092,30.806208,15.618867,0.164852,4.858446,0.2806733,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,18.243858,30.855812,15.597034,0.16337138,4.8670926,0.27883014,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,18.279211,30.855783,15.615631,0.16459873,4.8534045,0.28286353,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,18.186049,30.88355,15.624738,0.16658081,4.8533216,0.2893676,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,18.242748,30.857668,15.6613245,0.16688423,4.8649225,0.27633023,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,18.242636,30.853628,15.62578,0.17026937,4.863662,0.26578918,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,18.282806,30.953993,15.651844,0.15213476,4.8674564,0.28709206,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,18.247929,30.865816,15.629579,0.16852868,4.850549,0.27447644,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,18.252054,30.85983,15.621021,0.16472685,4.86263,0.2932872,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,18.252262,30.89815,15.62965,0.1675,4.8544607,0.27169958,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,18.224134,30.85651,15.621703,0.17341346,4.8550925,0.27867594,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,18.238523,30.828287,15.635336,0.16530822,4.8355465,0.27706832,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,18.261354,30.865662,15.6312685,0.1604365,4.857973,0.29513323,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,18.246695,30.864882,15.627875,0.16715504,4.8513665,0.27724788,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,18.242414,30.864098,15.646055,0.16552763,4.863316,0.27637464,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,18.25665,30.859596,15.599223,0.1660868,4.8348985,0.27804083,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,18.243711,30.843166,15.608181,0.16369778,4.8570704,0.28516823,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,18.245504,30.824965,15.625681,0.16665393,4.872499,0.27552336,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
40,18.240635,30.850512,15.626277,0.15590273,4.8561463,0.29442298,0.7813650516048343,0.8762241006375227,0.6458180889092215,0.6577035106522111
41,18.248383,30.84445,15.640401,0.15382215,4.8605895,0.29074138,0.658672288580147,0.7877444090932252,0.4445148335188425,0.5393556264198887
42,18.275976,30.930243,15.594648,0.16665398,4.8527412,0.27691576,0.6978153246992128,0.8181139245821786,0.314380123741368,0.2662163572841596
43,18.260208,30.911743,15.64843,0.16492942,4.861967,0.30519298,0.5998108578664134,0.7585275319567355,0.3686106818446819,0.3869195014675909
44,18.238453,30.895329,15.631832,0.14739911,4.8531666,0.28889108,0.8801157434551558,0.8935514387890885,0.7158993047613672,0.7730883264186125
46,18.24022,30.824707,15.656477,0.16168426,4.8497534,0.27995902,0.6421394312816772,0.7033563881549506,0.4626103531764093,0.6152163607805267
47,18.246264,30.814983,15.579947,0.16812459,4.8521824,0.278057,0.6811185054995128,0.7757634301168703,0.5163736353849568,0.5143334243192221
48,18.225853,30.854658,15.62651,0.13724102,4.859008,0.27437416,0.7688213425900321,0.8181488830099942,0.5469937977624407,0.5532585968150371
50,18.236334,30.865004,15.621863,0.16916896,4.8541946,0.2849957,0.7209040032679739,0.8514424514200299,0.6867491823203905,0.6402125712009417
52,18.238943,30.860344,15.620958,0.16681738,4.861398,0.2641704,0.6265475387934298,0.747382227291022,0.473521364480118,0.4471836381195836
53,18.25074,30.86077,15.602162,0.16714938,4.855565,0.27715823,0.8371938818683665,0.8531249675442696,0.7219005291681594,0.7197613365633281
54,18.25275,30.874458,15.6197405,0.16826479,4.85725,0.28836867,0.6092051190362601,0.8068794163492135,0.3986481720022883,0.411019474560824
56,18.24213,30.86379,15.616862,0.17217262,4.8523808,0.27228603,0.7723496767333683,0.8696611205113742,0.6665654981855719,0.6607740122197799
57,18.261358,30.865984,15.62421,0.15561107,4.8613853,0.29343,0.7279659629458199,0.8165445158538456,0.6364316628716641,0.697716316734439
58,18.250555,30.82767,15.635524,0.16721042,4.8499327,0.27520898,0.82164843952436,0.8726740294511378,0.6663697399126769,0.7146964954100358
59,18.249512,30.86619,15.601814,0.16603611,4.845339,0.2754893,0.6115538385282169,0.7681436501139712,0.5477188589870762,0.5556218010735784
60,18.237051,30.843983,15.618062,0.16673525,4.855797,0.27493152,0.6347716720993163,0.7084241539466126,0.2667577213566317,0.3916235319161064
61,18.241095,30.836996,15.630222,0.16979623,4.845702,0.2683068,0.7972316903874977,0.8296592673244495,0.7351394555879547,0.7214697553000974
62,18.240911,30.842907,15.601516,0.1658125,4.854484,0.2737747,0.7621483364953324,0.848718015147428,0.6767352797398613,0.6559403144812753
64,18.243149,30.871422,15.626021,0.16219534,4.8611298,0.284689,0.6906652336421293,0.7412145533969673,0.4296449334462229,0.5380385882795841
65,18.240942,30.933916,15.647399,0.1802571,4.87302,0.2847154,0.6889673913043478,0.8314804560658932,0.531258932024017,0.4856883838530663
68,18.21207,30.916357,15.622192,0.17469586,4.85068,0.2595303,0.78550524662117,0.9066993464052288,0.7942583956013414,0.7783129658187031
69,18.240149,30.821476,15.618314,0.16435158,4.8576746,0.27766567,0.6995945090539887,0.7717763379634343,0.3707870120996301,0.4583264252845297
70,18.267643,30.923094,15.64701,0.17126784,4.8642793,0.27628547,0.691609477124183,0.8012270827396218,0.4899630388221467,0.6146699750929722
71,18.235687,30.852253,15.624961,0.1711036,4.855185,0.26881576,0.71110214773034,0.8100429177307795,0.561235944873435,0.6331302833418753
74,18.278776,30.93287,15.650237,0.1521567,4.8648787,0.29731226,0.7468799865625262,0.8626956609894567,0.5500243706207087,0.5368817144251411
75,18.24002,30.854313,15.639067,0.16714372,4.8522024,0.2751056,0.654121096911671,0.7598005654141999,0.4457017642360216,0.5258746582724823
76,18.275259,30.980518,15.638279,0.1664878,4.869073,0.2733456,0.7427832965594153,0.8173383424408014,0.3801214062951584,0.3996106127956757
78,18.240051,30.874868,15.622741,0.1568219,4.855976,0.28594157,0.7061901425310698,0.8487779329608939,0.5435017520866213,0.4730886173982942
79,18.25685,30.885231,15.624389,0.17356287,4.856656,0.27086818,0.7673837518626698,0.846679627305196,0.6055592674085815,0.5938408323937298
81,18.243574,30.833097,15.595178,0.16818234,4.8445826,0.2775057,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,18.248829,30.861286,15.657468,0.1680994,4.829878,0.27706853,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
84,18.251585,30.851654,15.621383,0.16420165,4.853655,0.27500558,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,18.327017,30.942913,15.669588,0.13201259,4.8729596,0.32705706,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,18.248747,30.86757,15.62804,0.18160847,4.8595777,0.2741091,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,18.239256,30.853138,15.61341,0.16726415,4.8496833,0.27702582,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,18.24998,30.887918,15.61467,0.16795434,4.827246,0.27761653,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
89,18.255138,30.848093,15.646603,0.1665039,4.851237,0.27776396,0.767971135513676,0.8546362649294246,0.5324246995862538,0.6378243584561712
90,18.223833,30.854935,15.6198015,0.16953422,4.857366,0.27658415,0.706154736148328,0.8159091035240583,0.5460865357747106,0.5204250569687467
91,18.232391,30.870779,15.623674,0.18551698,4.845369,0.24557215,0.8300003452053717,0.8965284653465346,0.5819569877641975,0.7324326926638299
92,18.243872,30.849373,15.624146,0.16562544,4.8522863,0.27814594,0.7800510110934097,0.86840091706104,0.6148656793529638,0.6155624020067704
94,18.246885,30.914331,15.6171875,0.17220105,4.838693,0.27461553,0.7063016939692216,0.8050384894168511,0.4810053470110604,0.5259319201125593
95,18.243607,30.830843,15.632297,0.16598894,4.854627,0.28261426,0.7068339931550885,0.7704032684452868,0.5203346388069301,0.4593901042285793
96,18.286324,30.819658,15.635214,0.13027965,4.858324,0.31006503,0.6473753805651484,0.7354716783343372,0.4828717504970568,0.5550493763780542
98,18.24894,30.874456,15.61823,0.16461717,4.86058,0.2821993,0.6649692826073684,0.7383752600250121,0.3431109465597028,0.3780416285930453
100,18.229492,30.881395,15.62757,0.16489603,4.8551874,0.27123007,0.8439434060228452,0.912285272887781,0.7764863613885269,0.7167883486728025
101,18.258322,30.87965,15.635049,0.1627494,4.860139,0.28001806,0.7643828540556782,0.8415976148992389,0.6762989686571312,0.6748484808994527
102,18.24341,30.811527,15.621028,0.16729313,4.840899,0.28049955,0.8144546737857895,0.8870024289366184,0.6536466602743175,0.631077389152224
103,18.256649,30.885035,15.635676,0.16380656,4.8613567,0.28084776,0.7034165778218929,0.7954807098765432,0.4679450045598828,0.4411551159741513
104,18.24914,30.878754,15.627732,0.1665345,4.8578987,0.27929136,0.7808765024682286,0.8844560695056289,0.5955350215115447,0.6226681671791003
105,18.25653,30.887066,15.640941,0.16595323,4.854382,0.27659994,0.8302199713513897,0.8912743990176357,0.7722035282511894,0.6850841242480766
106,18.248173,30.85717,15.622828,0.16313896,4.857397,0.27693394,0.5475743927535321,0.7702745082529135,0.1546130814474683,0.1455967447004125
107,18.24498,30.869715,15.629499,0.16725121,4.852054,0.27569607,0.8370796158825686,0.9062243453644728,0.7289911454779328,0.5984262848883759
108,18.257542,30.891905,15.658288,0.17013565,4.865763,0.27283835,0.7447070373664652,0.8433605056412075,0.6056399997026379,0.6293669832321882
109,18.225887,30.864954,15.6269,0.1554531,4.858287,0.27104303,0.8601437913512038,0.901863929146538,0.6802650667387583,0.6965022517975719
110,18.245846,30.854727,15.623136,0.1653137,4.8490725,0.27760357,0.7652106592238171,0.8752616902616902,0.6170377655712954,0.5153579439021986
