Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,0.0,0.35761818,0.24883479,0.646682,0.30194753,0.2334519,0.46103084,0.0,0.38928467,0.963375,0.7829858,1.2627218,0.7728942,0.6388402,0.06701185,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,0.8225374,0.30383,0.31073582,0.829491,0.28603595,0.35676265,0.7861177,0.52530706,0.19245315,0.3667421,0.7803848,0.68460184,0.8591044,0.050914258,0.14840971,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,0.6125431,0.29391858,0.28468555,0.56340206,0.57928336,0.27612644,0.4657092,0.33848,0.2476877,0.47553238,0.79754853,1.0753195,0.7497054,0.17007387,0.16989215,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,0.7493502,0.1761364,0.21394008,0.6394862,0.48886114,0.3427338,0.52756524,0.36419904,0.17552495,0.5562314,0.91166854,0.8617086,0.779355,0.05466634,0.0062887445,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,0.2633927,0.010006845,0.15357172,0.57761216,0.49817193,0.17577994,0.049511015,0.09761131,0.22174543,0.13420805,0.76113445,0.67772144,0.7505579,0.09791461,0.0,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,0.22492456,0.30409166,0.16469613,0.65715635,0.68484306,0.17979455,0.3523562,0.13750196,0.1880694,0.39569893,0.5922598,0.54365116,0.8409185,0.2694265,0.07541908,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,0.5971706,0.25724515,0.0021928847,0.66909885,0.41518414,0.3725785,0.4045478,0.027788877,0.22979051,0.2614943,0.6670401,0.6626968,0.922191,0.19604003,0.038412422,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,0.674438,0.21662751,0.09802216,0.69900215,0.34263456,0.29395652,0.18080008,0.2863146,0.2278533,0.12863383,0.65964174,0.63549346,0.8130059,0.13150558,0.01060044,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,0.0,1.4098556,0.20763844,0.53871155,0.84335196,0.32643032,0.32103133,0.5387813,0.73535603,0.7385553,0.1620315,1.5905104,0.07693668,1.0186161,0.18796264,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,0.057079017,0.061321944,0.023078054,0.324576,0.48843074,0.18550593,0.34679794,0.21374786,0.22068012,0.44901553,0.5353648,0.44668382,0.60700613,0.4357719,0.0,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,0.4139204,0.20233682,0.18405175,0.43011776,0.22570854,0.38675368,0.18260479,0.16194761,0.3686167,0.2777072,0.52936214,0.46059865,0.93258077,0.056188196,0.2095023,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,0.32176375,0.35075173,0.024408787,0.39343974,1.3186855,0.15375668,0.27280366,0.044929624,0.22609723,0.0,0.52519387,0.27979922,0.47413576,0.12173584,0.0,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,0.37824333,0.10888296,0.0,0.61843705,0.393349,0.38584864,0.57490456,0.27648377,0.18696105,0.2471852,0.6492184,0.51157534,0.680771,0.030112714,0.023656264,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
30,0.37640417,0.15580025,0.18174362,0.5302063,0.43752646,0.39353764,0.26278603,0.18554437,0.18521947,0.17462423,0.5603319,0.79507285,1.0519718,0.016897738,0.19959931,0.7147289972899729,0.8711685823754789,0.6312701189545614,0.5690187879100216
31,0.5128436,0.09138414,0.12516797,0.5409334,0.40148872,0.15079087,0.37802422,0.0,0.10315776,0.4182457,0.80645204,0.58134395,0.85733235,0.24744031,0.0,0.8174795751633988,0.9237139107611548,0.7150157264603867,0.8238675471840997
33,0.48576713,0.4512554,0.332905,0.7790452,0.35304558,0.18745136,0.44089127,0.3344308,0.09930885,0.075219005,0.70555276,0.85793763,0.8071318,0.061123073,0.11049329,0.7232766505974474,0.8319868033173393,0.5871164512150575,0.6056723470316893
35,0.20788014,0.062121242,0.07118371,0.4160773,0.2381587,0.45271266,0.538344,0.5743972,0.20295465,0.2834802,0.6170335,0.4473986,0.681768,0.03519526,0.0,0.7656101093571331,0.8621265967316064,0.6779938106899565,0.5810817809530365
36,0.19022214,0.04769379,0.0,0.63419724,0.5569352,0.2582248,0.0,0.0,0.1418094,0.083355755,0.5061753,0.36214507,0.7123038,0.1117734,0.029668361,0.7365130362614732,0.857545045045045,0.6976961639148955,0.6167472774615587
38,0.76372814,0.22265014,0.33898175,0.68042254,0.501392,0.19238949,0.51363623,0.33663344,0.236767,0.39366302,0.8890301,1.0460179,0.69694614,0.1416569,0.16997175,0.5095076979518189,0.7167051017229862,0.2762885125993345,0.3597442701687895
39,0.7935957,0.18984523,0.20346397,0.82706857,0.5782515,0.0748533,0.24494565,0.16028512,0.17067301,0.12733558,0.8591174,0.9403396,0.90745115,0.28152993,0.18681817,0.6879566014139862,0.810877097800926,0.3991130507322682,0.4687781745948658
