Paziente,31,167,618,781,808,1065,1135,1195,1200,1518,1935,438,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
5,1.2099428,0.38104725,0.44697833,4.116306,0.0383455,0.37873054,0.74479,0.12999332,3.2336855,1.0397522,0.018390521,1.1522025,0.8040688697601583,0.8657609323018702,0.6421121501464132,0.5679223363531184
12,0.77690184,0.7000577,0.46633792,0.92684793,0.0,0.68050784,0.4813003,3.3972287,1.5807692,0.6759831,0.99397105,0.33181822,0.7744406512000844,0.8490097069858975,0.5557274154966373,0.6365999248488277
15,0.71994984,1.515481,0.23710524,1.5683076,0.0,0.72839797,0.15735506,3.2261806,1.5551746,0.9829608,0.7625697,0.98687154,0.7043250301394957,0.7414014492649382,0.5646201695051246,0.440332334885134
16,1.1682656,1.5022771,0.8747836,0.84189546,0.0,0.6693877,0.44504136,3.5587056,1.5742296,0.84437644,0.8375067,0.24519064,0.7708194619804735,0.8298346612476198,0.6664420978318886,0.5359702333553512
17,0.841117,1.6014997,0.014269397,1.2282962,0.0,0.810292,0.008972734,3.5284922,1.0044852,1.3789247,0.6706533,0.24836577,0.8338865250583078,0.8950742240215925,0.6421154835135768,0.674957906264686
19,1.2896324,1.5409973,0.5336867,0.9215126,0.0,0.30244377,0.19574209,2.551913,1.3604075,1.3418065,0.8587355,0.071542725,0.8143832194682535,0.9122168284789643,0.7979534724744475,0.7699026843759434
22,0.8543892,1.748342,0.8098119,1.8234078,0.0,0.5403331,0.60207975,3.0931716,0.9712683,0.6302893,0.8003735,0.4779445,0.7327920905311986,0.834453408438186,0.6428127403109496,0.5494302551105357
23,0.941653,1.5279397,0.46997052,1.2907248,0.0,0.5594724,0.1392044,3.887545,1.5344318,1.0436722,0.9966993,0.3488282,0.6546329923733696,0.7460362308752246,0.4832591657196018,0.4162863493339346
24,4.6073728,0.3712768,0.5739624,2.0793347,0.0,0.1670155,0.69073236,1.0903602,1.8253933,1.2876171,1.7472061,2.9441228,0.769833292469115,0.8524314897857499,0.4327482685355456,0.3486904282813957
25,0.87046707,1.6417087,0.22877629,1.7405045,0.5606548,1.3787739,0.035021245,2.369424,1.9412445,0.56990504,1.295372,0.30257118,0.7760126087954645,0.8650925925925925,0.6619818835854634,0.723497785945654
26,1.175777,1.9931772,1.2730231,0.79989934,0.0,0.6524226,0.41129655,3.1679406,1.6078149,0.45684406,0.71191853,0.37228394,0.7564887063700325,0.8947301587301588,0.7086169355953763,0.525992951907131
27,1.5463854,1.3991295,0.48165554,2.497574,0.0,0.691995,0.6419565,2.396604,1.0342801,0.5768548,0.7011347,0.6956862,0.7753841713820752,0.870515532685344,0.498522926145832,0.5839595558453344
29,1.0693926,1.8888938,0.6416326,0.88542175,0.0,0.61514133,0.7467718,3.1752136,1.1506433,0.66064334,0.6765162,0.0,0.7870983818226317,0.865603716561617,0.5474922810334777,0.696795392774731
