Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
5,0.0,0.35761818,0.24883479,0.646682,0.30194753,0.2334519,0.46103084,0.0,0.38928467,0.963375,0.7829858,1.2627218,0.7728942,0.6388402,0.06701185,3.9291420434318254,2.52368814524742,0.9309192449340354,27.39268689868377
12,0.8225374,0.30383,0.31073582,0.829491,0.28603595,0.35676265,0.7861177,0.52530706,0.19245315,0.3667421,0.7803848,0.68460184,0.8591044,0.050914258,0.14840971,3.355010730968312,3.6943315237975,0.9403701482594408,34.88607194513267
15,0.6125431,0.29391858,0.28468555,0.56340206,0.57928336,0.27612644,0.4657092,0.33848,0.2476877,0.47553238,0.79754853,1.0753195,0.7497054,0.17007387,0.16989215,4.234633859425546,4.850872463483972,0.9624239014853684,66.77125996265471
16,0.7493502,0.1761364,0.21394008,0.6394862,0.48886114,0.3427338,0.52756524,0.36419904,0.17552495,0.5562314,0.91166854,0.8617086,0.779355,0.05466634,0.0062887445,4.160480980460169,2.6852815354376225,0.9414332823354294,23.49083411281138
17,0.2633927,0.010006845,0.15357172,0.57761216,0.49817193,0.17577994,0.049511015,0.09761131,0.22174543,0.13420805,0.76113445,0.67772144,0.7505579,0.09791461,0.0,1.7450406665344178,1.6546320174568538,0.9341139093525214,23.949137584091645
19,0.22492456,0.30409166,0.16469613,0.65715635,0.68484306,0.17979455,0.3523562,0.13750196,0.1880694,0.39569893,0.5922598,0.54365116,0.8409185,0.2694265,0.07541908,1.3268526701174097,1.3563943946471406,0.9142948346795404,18.31214987411389
22,0.5971706,0.25724515,0.0021928847,0.66909885,0.41518414,0.3725785,0.4045478,0.027788877,0.22979051,0.2614943,0.6670401,0.6626968,0.922191,0.19604003,0.038412422,3.799574861544035,3.511167033658384,0.9359482030316564,65.51070904081634
23,0.674438,0.21662751,0.09802216,0.69900215,0.34263456,0.29395652,0.18080008,0.2863146,0.2278533,0.12863383,0.65964174,0.63549346,0.8130059,0.13150558,0.01060044,3.898340848653024,4.128569776852816,0.9388465029337936,52.79015546625002
24,0.0,1.4098556,0.20763844,0.53871155,0.84335196,0.32643032,0.32103133,0.5387813,0.73535603,0.7385553,0.1620315,1.5905104,0.07693668,1.0186161,0.18796264,3.24816513212246,3.122113001520576,0.9346577295707232,52.82330854482411
25,0.057079017,0.061321944,0.023078054,0.324576,0.48843074,0.18550593,0.34679794,0.21374786,0.22068012,0.44901553,0.5353648,0.44668382,0.60700613,0.4357719,0.0,1.848939763557891,2.4668324263464063,0.9199390845679392,21.311952572193537
26,0.4139204,0.20233682,0.18405175,0.43011776,0.22570854,0.38675368,0.18260479,0.16194761,0.3686167,0.2777072,0.52936214,0.46059865,0.93258077,0.056188196,0.2095023,1.488994646044021,1.2986317668054728,0.8942860422771632,22.99355221984012
27,0.32176375,0.35075173,0.024408787,0.39343974,1.3186855,0.15375668,0.27280366,0.044929624,0.22609723,0.0,0.52519387,0.27979922,0.47413576,0.12173584,0.0,2.0394879737933738,2.8599682307955554,0.9344392262567924,52.98544890593295
29,0.37824333,0.10888296,0.0,0.61843705,0.393349,0.38584864,0.57490456,0.27648377,0.18696105,0.2471852,0.6492184,0.51157534,0.680771,0.030112714,0.023656264,4.044443850285252,3.5973249467763337,0.9315289611293652,39.69125427054971
30,0.37640417,0.15580025,0.18174362,0.5302063,0.43752646,0.39353764,0.26278603,0.18554437,0.18521947,0.17462423,0.5603319,0.79507285,1.0519718,0.016897738,0.19959931,1.9997959183673475,0.9581632653061224,0.911688208065596,17.57034218438529
