Paziente,767,781,2035,2034,2042,741,54,273,1960,294,1882,477,1953,1897,1910,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
5,3.3228085,6.355293,0.7667719,11.966577,16.182138,11.027897,15.70686,5.9828644,18.327961,0.0,13.056357,7.5931907,2.462234,6.324102,11.787561,3.9291420434318254,2.52368814524742,0.9309192449340354,27.39268689868377
12,8.779702,3.410174,12.196966,14.155173,10.602427,8.464727,31.814299,10.385313,4.8310423,0.0,3.5868979,16.169254,0.0,12.504885,9.409324,3.355010730968312,3.6943315237975,0.9403701482594408,34.88607194513267
15,7.164153,4.3679895,9.418408,12.210374,14.624244,8.640262,30.413813,6.96128,12.210463,0.0,0.18505856,9.848015,0.45726576,7.167388,9.528519,4.234633859425546,4.850872463483972,0.9624239014853684,66.77125996265471
16,8.943247,1.9903194,12.227713,10.64898,8.8920965,6.070258,35.97353,9.439669,3.8384442,0.0,1.3232315,14.713832,5.80809,12.959449,14.197933,4.160480980460169,2.6852815354376225,0.9414332823354294,23.49083411281138
17,6.5190663,3.5230284,9.413861,5.9076,8.350729,3.688466,30.415709,7.875134,5.113853,0.27082306,0.0,7.0516253,2.622642,12.395055,5.9038253,1.7450406665344178,1.6546320174568538,0.9341139093525214,23.949137584091645
19,11.498502,3.6065216,8.533992,3.0916402,10.131073,8.02553,32.10968,11.957736,5.6849003,3.52344,0.0,11.089436,3.7369366,12.487278,10.949795,1.3268526701174097,1.3563943946471406,0.9142948346795404,18.31214987411389
22,17.10593,4.715823,4.947635,0.031676803,11.966856,8.842855,27.37847,12.641737,1.5102382,1.7090802,0.0,15.823162,4.321559,6.5533767,9.868519,3.799574861544035,3.511167033658384,0.9359482030316564,65.51070904081634
23,13.390391,3.8073688,9.310436,10.383175,10.511751,6.233864,32.505917,10.653515,6.0155525,0.0,0.6490598,16.054737,0.0,6.733244,11.490774,3.898340848653024,4.128569776852816,0.9388465029337936,52.79015546625002
24,0.6922651,0.3883103,0.0,15.279468,9.175882,2.7346702,14.649639,4.4751835,15.317595,0.0,8.273911,4.5765967,5.7480545,0.0,14.97908,3.24816513212246,3.122113001520576,0.9346577295707232,52.82330854482411
25,11.49284,4.856274,8.96987,5.189401,14.975962,5.2424126,33.949898,9.901517,7.593539,1.0144038,0.061939538,11.905166,2.2494373,4.437462,9.289844,1.848939763557891,2.4668324263464063,0.9199390845679392,21.311952572193537
26,9.130455,6.0789537,8.338839,1.0230241,7.320987,13.170581,32.844482,11.528893,5.751949,1.3387892,0.17462486,16.898424,0.77924126,11.636414,11.860472,1.488994646044021,1.2986317668054728,0.8942860422771632,22.99355221984012
27,2.8068829,1.4741784,10.16646,8.946721,9.134263,8.569047,16.168297,5.958126,0.0,2.5108104,6.457653,3.1501036,2.596115,5.171166,13.627656,2.0394879737933738,2.8599682307955554,0.9344392262567924,52.98544890593295
29,9.981089,1.1632009,13.9637985,14.134703,10.421154,8.154009,33.915157,8.536995,3.85382,1.1567564,0.27635747,13.522686,4.4304123,11.381463,15.0115595,4.044443850285252,3.5973249467763337,0.9315289611293652,39.69125427054971
30,8.563753,2.9820318,14.603263,8.679468,2.8291743,15.201392,36.270977,11.391417,7.942012,0.123380736,5.938385,20.752254,0.0,6.1289477,10.163671,1.9997959183673475,0.9581632653061224,0.911688208065596,17.57034218438529
31,9.25721,3.7814965,8.019782,11.37707,8.878506,8.070179,28.888666,11.153375,1.4842432,0.0,0.55610585,9.172444,1.4605548,10.667099,6.7849903,1.5659464450600185,1.4003570329332102,0.9056549928478016,12.25792298086151
