Paziente,234,23,101,450,479,331,46,165,128,77,416,50,510,86,60,305,105,206,439,400,102,94,wavelet-HL_firstorder_Mean,wavelet-HH_firstorder_Kurtosis,wavelet-LH_firstorder_Mean,original_shape2D_MinorAxisLength,wavelet-HH_glszm_GrayLevelNonUniformity,wavelet-HL_firstorder_Median,wavelet-LL_glszm_LargeAreaLowGrayLevelEmphasis,wavelet-LL_glszm_GrayLevelNonUniformity
5,0.0,8.313244,0.0,9.099245,92.96739,6.389909,28.875198,0.0,14.244057,0.0,76.156624,7.9541163,18.299337,58.532505,36.708225,92.68377,21.64142,8.406288,100.20279,136.03444,9.925131,15.482325,-4.9225831342609965,10.33376878558827,-0.1207242824903932,14.586141402409188,7.1875,3.6427896037988328,0.0964670742101526,5.826530612244898
12,4.758665,24.385775,0.0,66.68525,32.875587,86.093605,51.006973,0.0,21.075377,26.213766,72.4232,18.086561,31.46421,121.672264,75.5327,90.6068,2.7183685,41.764004,31.6945,45.36015,8.796791,23.450184,-1.2135786734508522,5.188567217589618,-1.1394235298725148,24.164443818549,8.567567567567568,4.364654137835724,0.040178960093754,7.51051051051051
15,3.5135503,1.3269227,0.0,17.824432,16.247957,0.0,14.327185,0.0,13.348597,0.0,0.013263609,2.3136005,18.290043,12.022556,7.6872253,24.24894,16.791777,26.985868,9.848078,7.8235636,0.0,10.588808,0.2903433017896707,24.17203594174486,0.5573488661868276,22.39017434055427,13.0,1.1197149316201953,0.8847360978359387,10.150684931506849
16,14.542918,2.0876527,0.0,21.26064,47.64566,0.0,36.004025,0.0,34.863823,0.0,12.346672,34.4277,50.577026,28.922867,42.862164,137.17958,5.7764773,0.0,28.535402,103.1521,0.0,53.862442,0.6683715105680099,8.7083527224026,3.979470364764292,14.24076130936194,6.461538461538462,2.71527098947122,0.089492908315263,4.60655737704918
17,38.566193,34.14843,8.820679,84.82838,43.15118,13.617218,48.00187,0.0,62.786278,82.12018,96.12971,0.0,54.605816,45.671047,41.934437,72.939964,18.2289,1.0622497,43.75506,26.832863,0.0,6.6831317,-1.4042235502608302,7.094959045287845,2.3166299280703107,15.273417238977622,9.0,1.8479370757355809,0.0126408681629917,5.680161943319838
19,88.34241,0.0,9.995612,40.73521,138.22467,68.269875,51.63492,0.0,0.0,41.972355,139.92561,28.674845,123.32343,65.85211,131.52518,202.54079,0.0,0.0,28.615211,94.29744,6.985943,47.438183,0.227931272450744,3.360967280361298,-3.1761490931981147,19.84943741847171,15.622222222222222,5.106080197732015,0.0374259505123671,3.26537216828479
22,11.243333,47.973366,0.0,68.73769,87.806465,33.03978,57.51021,0.0,0.0,31.0871,135.3102,44.51342,93.95586,210.27713,10.114193,217.7878,71.78321,147.57683,33.29119,62.680954,34.44617,22.838179,1.3419397334311085,6.060348394901672,2.2780226060989714,27.64941752648717,7.787878787878788,6.916373175690618,0.0545612354224698,10.908872901678658
23,13.730327,5.1412296,0.0,24.330515,31.803751,9.655059,11.628099,0.0,18.276892,14.789057,9.511587,0.0,13.0967045,15.674878,34.759163,17.333754,17.518053,8.75585,26.290993,13.645862,0.0,51.091167,1.5688100728387788,12.247809860292136,0.8364017174438771,21.365976709483643,5.615384615384615,0.1752042193534684,2.5125760395821426,7.340740740740741
24,5.976268,7.322075,0.0,5.3692255,14.089285,9.720799,6.2594643,0.0,0.0,37.02483,15.063599,0.0,24.24158,8.591894,70.83509,45.64817,38.28347,5.549872,41.55449,78.63681,0.0,33.748276,5.183352174617927,3.0566090611100303,13.069187870458933,37.26790639690889,11.6,2.307929892353847,0.0668309327910022,9.062780269058296
25,51.26727,44.429775,15.722582,41.686,206.5332,23.411259,40.68977,5.7000446,73.07574,70.05088,187.68071,42.48945,61.83925,179.96625,143.15775,177.15521,0.0,66.82714,67.50487,98.80465,51.540848,26.501799,-0.2529242561782676,4.620160322226659,-1.1954653526603365,19.84395938691852,11.196078431372548,9.94737452550551,0.0135879228896259,4.852813852813853
26,12.539601,0.07743111,0.0,9.739416,35.13599,9.713604,24.087473,0.0,19.378174,37.249893,57.16744,0.0,34.50291,13.995625,63.575348,61.9533,38.01282,74.89975,29.396145,48.14131,0.0,12.313929,4.264850698636933,3.500528122287512,12.680235725727991,18.346639090311303,6.68,4.341340776869108,0.0428472397023681,4.671428571428572
27,0.0,0.0,0.0,68.05413,50.647194,63.79545,51.73163,0.0,0.0,17.474941,20.816557,0.0,32.355778,93.19121,135.14076,174.59474,33.351185,10.961933,26.977253,103.11445,0.0,24.126188,-2.879686390131832,3.4082230066463057,-2.5830482136130954,28.21965351439386,4.846153846153846,3.392968022163064,0.023128660496051,7.195540308747856
